team_id,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,fair_play_score,points
T25,0,0,0,0,0,0,0,0,0
T27,0,0,0,0,0,0,0,0,0
T26,0,0,0,0,0,0,0,0,0
T28,0,0,0,0,0,0,0,0,0
